g,t,b,e,att,k,n_g,n_g_valid,n_c,t_label,cohort
55,152,48,97,0.013062926928095391,2,194,194,102,2025-12-06,C1
55,153,49,98,-0.011029608128530516,2,194,194,102,2025-12-13,C1
55,154,50,99,0.02987100250811771,2,194,194,102,2025-12-20,C1
55,155,51,100,0.016525320635448797,2,194,194,102,2025-12-27,C1
55,156,52,101,0.02093455520906745,2,194,194,102,2026-01-03,C1
55,157,53,102,0.10367106593701342,2,194,194,102,2026-01-10,C1
55,158,54,103,0.02786073379592536,2,194,194,102,2026-01-17,C1
55,159,3,104,0.03202656458951549,3,194,194,102,2026-01-24,C1
55,160,4,105,0.0372041337553098,3,194,194,102,2026-01-31,C1
55,161,5,106,0.05235110199686703,3,194,194,102,2026-02-07,C1
55,163,7,108,0.049149328154323255,3,194,194,102,2026-02-21,C1
55,164,8,109,0.016355839366019226,3,194,194,102,2026-02-28,C1
55,165,9,110,0.0228477619210282,3,194,194,102,2026-03-07,C1
55,166,10,111,0.026671500296385695,3,194,194,102,2026-03-14,C1
55,167,11,112,0.02187282334720822,3,194,194,102,2026-03-21,C1
55,168,12,113,0.01610586019203115,3,194,194,102,2026-03-28,C1
55,169,13,114,0.038291161272061676,3,194,194,102,2026-04-04,C1
55,170,14,115,0.006917137765522241,3,194,194,102,2026-04-11,C1
55,171,15,116,0.018700913206324506,3,194,194,102,2026-04-18,C1
55,172,16,117,0.013932283230680666,3,194,194,102,2026-04-25,C1
55,173,17,118,-0.009099513177221654,3,194,194,102,2026-05-02,C1
55,174,18,119,0.022380641857100272,3,194,194,102,2026-05-09,C1
55,175,19,120,0.03030970658703049,3,194,194,102,2026-05-16,C1
55,176,20,121,0.020556994556676,3,194,194,102,2026-05-23,C1
55,177,21,122,0.03439692352912753,3,194,194,102,2026-05-30,C1
55,178,22,123,0.02473082245026778,3,194,194,102,2026-06-06,C1
55,179,23,124,0.021011299777053568,3,194,194,102,2026-06-13,C1
55,180,24,125,0.02274978757031708,3,194,194,102,2026-06-20,C1
55,181,25,126,0.014428342638277775,3,194,194,102,2026-06-27,C1
55,182,26,127,0.027092730455305657,3,194,194,102,2026-07-04,C1
55,183,27,128,0.009929455425668903,3,194,194,102,2026-07-11,C1
55,184,28,129,0.03067346160357582,3,194,194,102,2026-07-18,C1
55,185,29,130,0.015096350715774053,3,194,194,102,2026-07-25,C1
55,186,30,131,0.029961062818331063,3,194,194,102,2026-08-01,C1
55,187,31,132,0.06252894437374018,3,194,194,102,2026-08-08,C1
55,188,32,133,-0.009397310273749144,3,194,194,102,2026-08-15,C1
55,189,33,134,0.0384228923532709,3,194,194,102,2026-08-22,C1
55,190,34,135,0.03013070559829365,3,194,194,102,2026-08-29,C1
55,191,35,136,0.014772980856372825,3,194,194,102,2026-09-05,C1
55,192,36,137,-0.008494153043441258,3,194,194,102,2026-09-12,C1
99,0,52,-99,-0.02609473813746877,-1,12,12,102,2023-01-07,C4
99,1,53,-98,-0.03714950819215868,-1,12,12,102,2023-01-14,C4
99,3,55,-96,0.0016810116657031589,-1,12,12,102,2023-01-28,C4
99,6,58,-93,-0.028127352390971173,-1,12,12,102,2023-02-18,C4
99,7,59,-92,-0.037841761437018576,-1,12,12,102,2023-02-25,C4
99,8,60,-91,-0.027857458046851233,-1,12,12,102,2023-03-04,C4
99,9,61,-90,-4.150273919544152e-05,-1,12,12,102,2023-03-11,C4
99,10,62,-89,-0.02866905128765594,-1,12,12,102,2023-03-18,C4
99,11,63,-88,-0.03211287256318231,-1,12,12,102,2023-03-25,C4
99,12,64,-87,-0.026103424122873996,-1,12,12,102,2023-04-01,C4
99,13,65,-86,-0.003930516264886122,-1,12,12,102,2023-04-08,C4
99,14,66,-85,-0.021453903769534956,-1,12,12,102,2023-04-15,C4
99,15,67,-84,-0.03852756975998846,-1,12,12,102,2023-04-22,C4
99,16,68,-83,-0.037617271120992106,-1,12,12,102,2023-04-29,C4
99,17,69,-82,-0.024923448555832804,-1,12,12,102,2023-05-06,C4
99,18,70,-81,-0.012194094101997118,-1,12,12,102,2023-05-13,C4
99,19,71,-80,-0.03967631557644281,-1,12,12,102,2023-05-20,C4
99,20,72,-79,-0.04955022710266759,-1,12,12,102,2023-05-27,C4
99,21,73,-78,-0.03304628076510535,-1,12,12,102,2023-06-03,C4
99,22,74,-77,-0.04172803263721136,-1,12,12,102,2023-06-10,C4
99,23,75,-76,-0.02364812616471769,-1,12,12,102,2023-06-17,C4
99,24,76,-75,-0.03228387984619095,-1,12,12,102,2023-06-24,C4
99,25,77,-74,-0.023777882219937117,-1,12,12,102,2023-07-01,C4
99,26,78,-73,-0.027136418760166058,-1,12,12,102,2023-07-08,C4
99,27,79,-72,-0.015834979250139984,-1,12,12,102,2023-07-15,C4
99,28,80,-71,-0.03272197295927544,-1,12,12,102,2023-07-22,C4
99,29,81,-70,-0.014052965189393335,-1,12,12,102,2023-07-29,C4
99,30,82,-69,0.014131713509390215,-1,12,12,102,2023-08-05,C4
99,31,83,-68,-0.0013180726247331714,-1,12,12,102,2023-08-12,C4
99,32,84,-67,-0.0117166475100764,-1,12,12,102,2023-08-19,C4
99,33,85,-66,0.007858612396808483,-1,12,12,102,2023-08-26,C4
99,34,86,-65,0.005110240187557003,-1,12,12,102,2023-09-02,C4
99,35,87,-64,0.020297187149491646,-1,12,12,102,2023-09-09,C4
99,39,91,-60,0.002886932658946897,-1,12,12,102,2023-10-07,C4
99,40,92,-59,-0.03385497277603286,-1,12,12,102,2023-10-14,C4
99,41,93,-58,-0.01980957698248476,-1,12,12,102,2023-10-21,C4
99,42,94,-57,-0.014090832544932791,-1,12,12,102,2023-10-28,C4
99,43,95,-56,-0.010061871913773494,-1,12,12,102,2023-11-04,C4
99,44,96,-55,0.005097786525579885,-1,12,12,102,2023-11-11,C4
99,45,97,-54,0.001465273159092584,-1,12,12,102,2023-11-18,C4
99,46,98,-53,0.028456677594434023,-1,12,12,102,2023-11-25,C4
99,99,47,0,-0.010607263743472362,1,12,12,102,2024-11-30,C4
99,100,48,1,0.03701717991714501,1,12,12,102,2024-12-07,C4
99,101,49,2,-0.017462486090633438,1,12,12,102,2024-12-14,C4
99,102,50,3,0.02495145270973612,1,12,12,102,2024-12-21,C4
99,103,51,4,-0.04226864626960278,1,12,12,102,2024-12-28,C4
99,104,52,5,-0.018366277750361343,1,12,12,102,2025-01-04,C4
99,105,53,6,-0.02575199025841265,1,12,12,102,2025-01-11,C4
99,106,54,7,-0.020980892027856298,1,12,12,102,2025-01-18,C4
99,110,58,11,-0.015761596320960275,1,12,12,102,2025-02-15,C4
99,111,59,12,0.006134770490738822,1,12,12,102,2025-02-22,C4
99,112,60,13,-0.009919156721619716,1,12,12,102,2025-03-01,C4
99,113,61,14,0.013691951949983266,1,12,12,102,2025-03-08,C4
99,114,62,15,-0.011118337524830064,1,12,12,102,2025-03-15,C4
99,115,63,16,-0.018578110807056035,1,12,12,102,2025-03-22,C4
99,116,64,17,-0.007789309278210917,1,12,12,102,2025-03-29,C4
99,117,65,18,0.01402959255322309,1,12,12,102,2025-04-05,C4
99,118,66,19,0.009696307743141834,1,12,12,102,2025-04-12,C4
99,119,67,20,0.012523689933511422,1,12,12,102,2025-04-19,C4
99,120,68,21,-0.04050913135372722,1,12,12,102,2025-04-26,C4
99,121,69,22,-0.044840193172606804,1,12,12,102,2025-05-03,C4
99,122,70,23,-0.0017471520827505114,1,12,12,102,2025-05-10,C4
99,123,71,24,-0.03583517755485402,1,12,12,102,2025-05-17,C4
99,124,72,25,-0.043399274426675495,1,12,12,102,2025-05-24,C4
99,125,73,26,-0.04896157442420018,1,12,12,102,2025-05-31,C4
99,126,74,27,-0.0378524379528096,1,12,12,102,2025-06-07,C4
99,127,75,28,-0.021385203544005596,1,12,12,102,2025-06-14,C4
99,128,76,29,-0.03804551071226356,1,12,12,102,2025-06-21,C4
99,129,77,30,-0.05209408373604146,1,12,12,102,2025-06-28,C4
99,130,78,31,-0.0283532442988517,1,12,12,102,2025-07-05,C4
99,131,79,32,-0.042973931307930896,1,12,12,102,2025-07-12,C4
99,132,80,33,-0.05478261987634075,1,12,12,102,2025-07-19,C4
99,133,81,34,-0.03948428124111775,1,12,12,102,2025-07-26,C4
99,134,82,35,-0.04221150530486597,1,12,12,102,2025-08-02,C4
99,135,83,36,-0.06297310135384496,1,12,12,102,2025-08-09,C4
99,136,84,37,-0.04568553831887867,1,12,12,102,2025-08-16,C4
99,137,85,38,-0.0382577206920135,1,12,12,102,2025-08-23,C4
99,138,86,39,-0.03529362874231819,1,12,12,102,2025-08-30,C4
99,139,87,40,-0.0526788076212595,1,12,12,102,2025-09-06,C4
99,141,89,42,-0.052952484605658545,1,12,12,102,2025-09-20,C4
99,144,92,45,-0.0743074440326908,1,12,12,102,2025-10-11,C4
99,145,93,46,-0.042377909162944635,1,12,12,102,2025-10-18,C4
99,146,94,47,-0.045076332039390696,1,12,12,102,2025-10-25,C4
99,147,95,48,-0.05754844744100376,1,12,12,102,2025-11-01,C4
99,148,96,49,-0.04088643226175909,1,12,12,102,2025-11-08,C4
99,149,97,50,-0.04755810595424614,1,12,12,102,2025-11-15,C4
99,150,98,51,-0.037713232784064195,1,12,12,102,2025-11-22,C4
99,151,47,52,-0.08169965408676348,2,12,12,102,2025-11-29,C4
99,152,48,53,-0.06010802350560962,2,12,12,102,2025-12-06,C4
99,153,49,54,-0.08925049870799003,2,12,12,102,2025-12-13,C4
99,154,50,55,-0.06688198393049408,2,12,12,102,2025-12-20,C4
99,155,51,56,-0.0861382592566915,2,12,12,102,2025-12-27,C4
99,156,52,57,-0.07446802238213387,2,12,12,102,2026-01-03,C4
99,157,53,58,-0.06919203773374821,2,12,12,102,2026-01-10,C4
99,158,54,59,-0.07375062749308015,2,12,12,102,2026-01-17,C4
99,159,55,60,-0.05007057553229333,2,12,12,102,2026-01-24,C4
99,163,59,64,-0.038236868787913166,2,12,12,102,2026-02-21,C4
99,164,60,65,-0.0741133546564074,2,12,12,102,2026-02-28,C4
99,165,61,66,-0.02798381941867381,2,12,12,102,2026-03-07,C4
99,166,62,67,-0.059714225178398014,2,12,12,102,2026-03-14,C4
99,167,63,68,-0.07095130285683453,2,12,12,102,2026-03-21,C4
99,168,64,69,-0.07118161410061041,2,12,12,102,2026-03-28,C4
99,169,65,70,-0.02083192296945172,2,12,12,102,2026-04-04,C4
99,170,66,71,-0.03140876321917763,2,12,12,102,2026-04-11,C4
99,171,67,72,-0.08714833484762907,2,12,12,102,2026-04-18,C4
99,172,68,73,-0.0842084371340503,2,12,12,102,2026-04-25,C4
99,173,69,74,-0.08219847966296084,2,12,12,102,2026-05-02,C4
99,174,70,75,-0.05267943703269452,2,12,12,102,2026-05-09,C4
99,175,71,76,-0.06923152286643458,2,12,12,102,2026-05-16,C4
99,176,72,77,-0.09476916888240028,2,12,12,102,2026-05-23,C4
99,177,73,78,-0.06181304568789707,2,12,12,102,2026-05-30,C4
99,178,74,79,-0.08042476039467703,2,12,12,102,2026-06-06,C4
99,179,75,80,-0.06863268538731855,2,12,12,102,2026-06-13,C4
99,180,76,81,-0.061966708338493236,2,12,12,102,2026-06-20,C4
99,181,77,82,-0.09196487879875218,2,12,12,102,2026-06-27,C4
99,182,78,83,-0.07865253208515179,2,12,12,102,2026-07-04,C4
99,183,79,84,-0.07934618044038902,2,12,12,102,2026-07-11,C4
99,184,80,85,-0.07551771621701615,2,12,12,102,2026-07-18,C4
99,185,81,86,-0.06725527512468925,2,12,12,102,2026-07-25,C4
99,186,82,87,-0.0722413826313822,2,12,12,102,2026-08-01,C4
99,187,83,88,-0.038670998580654675,2,12,12,102,2026-08-08,C4
99,188,84,89,-0.06943832720950718,2,12,12,102,2026-08-15,C4
99,189,85,90,-0.022707605892821153,2,12,12,102,2026-08-22,C4
99,190,86,91,-0.05852931358613811,2,12,12,102,2026-08-29,C4
99,191,87,92,-0.05094273338318067,2,12,12,102,2026-09-05,C4
135,0,104,-135,-0.0913403459044457,-2,2,2,39,2023-01-07,C6
135,1,105,-134,-0.08043235797988843,-2,2,2,39,2023-01-14,C6
135,4,108,-131,-0.08132749839570583,-2,2,2,39,2023-02-04,C6
135,5,109,-130,-0.07804468433844002,-2,2,2,39,2023-02-11,C6
135,6,110,-129,-0.07163872989726568,-2,2,2,39,2023-02-18,C6
135,7,111,-128,-0.07353277979622946,-2,2,2,39,2023-02-25,C6
135,8,112,-127,-0.09060305247922538,-2,2,2,39,2023-03-04,C6
135,9,113,-126,-0.07643533289524111,-2,2,2,39,2023-03-11,C6
135,10,114,-125,-0.082945508862477,-2,2,2,39,2023-03-18,C6
135,11,115,-124,-0.061391831560095936,-2,2,2,39,2023-03-25,C6
135,12,116,-123,-0.07010389357253292,-2,2,2,39,2023-04-01,C6
135,13,117,-122,-0.07165291097223146,-2,2,2,39,2023-04-08,C6
135,14,118,-121,-0.07615287056876974,-2,2,2,39,2023-04-15,C6
135,15,119,-120,-0.07578728991229146,-2,2,2,39,2023-04-22,C6
135,16,120,-119,-0.04098954804453715,-2,2,2,39,2023-04-29,C6
135,17,121,-118,-0.11804080458312918,-2,2,2,39,2023-05-06,C6
135,18,122,-117,-0.0662315957062923,-2,2,2,39,2023-05-13,C6
135,19,123,-116,-0.05647892604177384,-2,2,2,39,2023-05-20,C6
135,20,124,-115,-0.043963343089554796,-2,2,2,39,2023-05-27,C6
135,21,125,-114,-0.04534567873952488,-2,2,2,39,2023-06-03,C6
135,22,126,-113,-0.05233883589866935,-2,2,2,39,2023-06-10,C6
135,23,127,-112,-0.04948329154714178,-2,2,2,39,2023-06-17,C6
135,24,128,-111,-0.033723803088630135,-2,2,2,39,2023-06-24,C6
135,25,129,-110,-0.03930687049006797,-2,2,2,39,2023-07-01,C6
135,26,130,-109,-0.03151973703332839,-2,2,2,39,2023-07-08,C6
135,27,131,-108,-0.0425105867902637,-2,2,2,39,2023-07-15,C6
135,28,132,-107,-0.05081632171619104,-2,2,2,39,2023-07-22,C6
135,29,133,-106,-0.02040219905623182,-2,2,2,39,2023-07-29,C6
135,30,134,-105,-0.02472456423585491,-2,2,2,39,2023-08-05,C6
135,31,83,-104,-0.05517010063228757,-1,2,2,39,2023-08-12,C6
135,32,84,-103,-0.05160662520017699,-1,2,2,39,2023-08-19,C6
135,33,85,-102,-0.05297565255945253,-1,2,2,39,2023-08-26,C6
135,34,86,-101,-0.042570312870535365,-1,2,2,39,2023-09-02,C6
135,35,87,-100,-0.03239006002938085,-1,2,2,39,2023-09-09,C6
135,39,91,-96,-0.03757223953737028,-1,2,2,39,2023-10-07,C6
135,40,92,-95,-0.027971567569233243,-1,2,2,39,2023-10-14,C6
135,41,93,-94,-0.03628679853848207,-1,2,2,39,2023-10-21,C6
135,42,94,-93,-0.02296391458201218,-1,2,2,39,2023-10-28,C6
135,43,95,-92,-0.03802421035579759,-1,2,2,39,2023-11-04,C6
135,44,96,-91,-0.02450759820416437,-1,2,2,39,2023-11-11,C6
135,45,97,-90,-0.03971699038663177,-1,2,2,39,2023-11-18,C6
135,46,98,-89,-0.023419440871551234,-1,2,2,39,2023-11-25,C6
135,47,99,-88,-0.03526908640308023,-1,2,2,39,2023-12-02,C6
135,48,100,-87,-0.06758111887975468,-1,2,2,39,2023-12-09,C6
135,49,101,-86,-0.05399394560107142,-1,2,2,39,2023-12-16,C6
135,50,102,-85,-0.006648269021360405,-1,2,2,39,2023-12-23,C6
135,51,103,-84,-0.02819350073681812,-1,2,2,39,2023-12-30,C6
135,52,104,-83,-0.027298464890065655,-1,2,2,39,2024-01-06,C6
135,53,105,-82,-0.020954031624186156,-1,2,2,39,2024-01-13,C6
135,54,106,-81,-0.03559665092165935,-1,2,2,39,2024-01-20,C6
135,58,110,-77,-0.028779723156441596,-1,2,2,39,2024-02-17,C6
135,59,111,-76,-0.0278186980241356,-1,2,2,39,2024-02-24,C6
135,60,112,-75,-0.05479178224796563,-1,2,2,39,2024-03-02,C6
135,61,113,-74,-0.03236343087766734,-1,2,2,39,2024-03-09,C6
135,62,114,-73,-0.04391432485539344,-1,2,2,39,2024-03-16,C6
135,63,115,-72,-0.031316285835220975,-1,2,2,39,2024-03-23,C6
135,64,116,-71,-0.0443077772059635,-1,2,2,39,2024-03-30,C6
135,65,117,-70,-0.021965006157526154,-1,2,2,39,2024-04-06,C6
135,66,118,-69,-0.03821001289316959,-1,2,2,39,2024-04-13,C6
135,67,119,-68,-0.04141637995468569,-1,2,2,39,2024-04-20,C6
135,68,120,-67,-0.015115070523073506,-1,2,2,39,2024-04-27,C6
135,69,121,-66,-0.02754897695881118,-1,2,2,39,2024-05-04,C6
135,70,122,-65,0.012158365670851858,-1,2,2,39,2024-05-11,C6
135,71,123,-64,0.0003224183398950404,-1,2,2,39,2024-05-18,C6
135,72,124,-63,-0.012179723758892877,-1,2,2,39,2024-05-25,C6
135,73,125,-62,-0.000613213153348495,-1,2,2,39,2024-06-01,C6
135,74,126,-61,0.0076422768323043625,-1,2,2,39,2024-06-08,C6
135,75,127,-60,-0.002099039882728823,-1,2,2,39,2024-06-15,C6
135,76,128,-59,0.004547644706635337,-1,2,2,39,2024-06-22,C6
135,77,129,-58,0.005545169587896623,-1,2,2,39,2024-06-29,C6
135,78,130,-57,0.014302706172912485,-1,2,2,39,2024-07-06,C6
135,79,131,-56,0.028330685352591613,-1,2,2,39,2024-07-13,C6
135,80,132,-55,0.0016876838733770327,-1,2,2,39,2024-07-20,C6
135,81,133,-54,0.00699369664536106,-1,2,2,39,2024-07-27,C6
135,82,134,-53,0.004336624736374313,-1,2,2,39,2024-08-03,C6
135,135,83,0,-0.005111916003674291,1,2,2,39,2025-08-09,C6
135,136,84,1,-0.016838569574768043,1,2,2,39,2025-08-16,C6
135,137,85,2,-0.009584251277153167,1,2,2,39,2025-08-23,C6
135,138,86,3,-0.012932815192763987,1,2,2,39,2025-08-30,C6
135,139,87,4,-0.023107565470679832,1,2,2,39,2025-09-06,C6
135,141,89,6,-0.011108649492849954,1,2,2,39,2025-09-20,C6
135,144,92,9,0.007625591274197277,1,2,2,39,2025-10-11,C6
135,145,93,10,-0.014116760560238636,1,2,2,39,2025-10-18,C6
135,146,94,11,-0.004765342209662293,1,2,2,39,2025-10-25,C6
135,147,95,12,-0.00273523312739774,1,2,2,39,2025-11-01,C6
135,148,96,13,0.00258093151269438,1,2,2,39,2025-11-08,C6
135,149,97,14,-0.027400447258681848,1,2,2,39,2025-11-15,C6
135,150,98,15,-0.008068361559900462,1,2,2,39,2025-11-22,C6
135,151,99,16,-0.0002745909988250278,1,2,2,39,2025-11-29,C6
135,152,100,17,-0.04999099650629027,1,2,2,39,2025-12-06,C6
135,153,101,18,-0.01912767640145077,1,2,2,39,2025-12-13,C6
135,154,102,19,-0.0025293927424091048,1,2,2,39,2025-12-20,C6
135,155,103,20,0.00803165928541219,1,2,2,39,2025-12-27,C6
135,156,104,21,-0.01490503165871819,1,2,2,39,2026-01-03,C6
135,157,105,22,-0.01478342792197437,1,2,2,39,2026-01-10,C6
135,158,106,23,-0.018280830523437156,1,2,2,39,2026-01-17,C6
135,160,108,25,-0.02437407217668472,1,2,2,39,2026-01-31,C6
135,161,109,26,-0.020655678152756367,1,2,2,39,2026-02-07,C6
135,163,111,28,-0.022019007758092658,1,2,2,39,2026-02-21,C6
135,164,112,29,-0.024628628811157502,1,2,2,39,2026-02-28,C6
135,165,113,30,-0.019936353311878728,1,2,2,39,2026-03-07,C6
135,166,114,31,-0.019041681131184825,1,2,2,39,2026-03-14,C6
135,167,115,32,-0.008589430561063802,1,2,2,39,2026-03-21,C6
135,168,116,33,-0.013964628018971484,1,2,2,39,2026-03-28,C6
135,169,117,34,-0.005632928344111013,1,2,2,39,2026-04-04,C6
135,170,118,35,-0.024870663973433613,1,2,2,39,2026-04-11,C6
135,171,119,36,-0.0023426339094778925,1,2,2,39,2026-04-18,C6
135,172,120,37,0.013162292983952786,1,2,2,39,2026-04-25,C6
135,173,121,38,-0.025059295507098095,1,2,2,39,2026-05-02,C6
135,174,122,39,-0.00032133823375064124,1,2,2,39,2026-05-09,C6
135,175,123,40,0.00832028098438952,1,2,2,39,2026-05-16,C6
135,176,124,41,0.028054203055786063,1,2,2,39,2026-05-23,C6
135,177,125,42,0.012281023080635486,1,2,2,39,2026-05-30,C6
135,178,126,43,0.006937607223448661,1,2,2,39,2026-06-06,C6
135,179,127,44,0.012118453117664442,1,2,2,39,2026-06-13,C6
135,180,128,45,0.015899490766280576,1,2,2,39,2026-06-20,C6
135,181,129,46,0.013692741856064665,1,2,2,39,2026-06-27,C6
135,182,130,47,0.031035235784311492,1,2,2,39,2026-07-04,C6
135,183,131,48,0.029757787551762914,1,2,2,39,2026-07-11,C6
135,184,132,49,0.01793988897180595,1,2,2,39,2026-07-18,C6
135,185,133,50,0.007432837461778016,1,2,2,39,2026-07-25,C6
135,186,134,51,0.01791426960957082,1,2,2,39,2026-08-01,C6
135,187,83,52,-0.021789446590001094,2,2,2,39,2026-08-08,C6
135,188,84,53,0.01405260661867528,2,2,2,39,2026-08-15,C6
135,189,85,54,0.015245133628896478,2,2,2,39,2026-08-22,C6
135,190,86,55,0.0215458207544868,2,2,2,39,2026-08-29,C6
135,191,87,56,5.914705702149414e-05,2,2,2,39,2026-09-05,C6
